"sigma_P","gamma","mu_EI","b_3","sigma_M","rho","b_1","b_2","mu_H","N_0","E_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
0.00019,0.142857142857143,0.1,-12.9837282689355,5.37854656262153,0.528852682357873,4.67928855475893,-6.10869385012398,3.68e-05,5301405,220313.089766203,42188.1772235253,0,0,0,0,0,-271.227998644312,287759748
0.00019,0.142857142857143,0.1,-12.0906962296695,3.80072919575866,0.647918495921337,3.7966746733485,-4.62633391724635,3.68e-05,5301405,220312.674618323,42187.0780189746,0,0,0,0,0,-260.505990327825,650304339
0.00019,0.142857142857143,0.1,-13.6186445522796,5.48262800562254,0.423685478450889,4.507125467334,-5.10507405274384,3.68000000000001e-05,5301405,220313.207976692,42189.9770605927,0,0,0,0,0,-277.2289211012,733087426
0.00019,0.142857142857143,0.1,-11.6577511687185,10.5764298979882,0.74865538485948,3.65014610857488,1.49837057202031,3.68e-05,5301405,117190.05346495,107810.035025378,0,0,0,0,0,-293.071296084243,275038195
0.00019,0.142857142857143,0.1,-12.1366063087377,11.0271666836679,0.823482215575488,5.34789222190104,1.58401616294181,3.68e-05,5301405,117186.599235412,107812.260045542,0,0,0,0,0,-294.913546979473,830036058
0.00019,0.142857142857143,0.1,-12.1482424298012,10.946174368244,0.79384458830773,4.90249136057768,1.58174468793693,3.68e-05,5301405,117188.226461359,107812.543468198,0,0,0,0,0,-294.532638786572,136023556
0.00019,0.142857142857143,0.1,-11.3277191549147,11.1290724730844,0.796193665642598,5.45251794368723,1.32986258104359,3.68e-05,5301405,117187.596641335,107815.652535219,0,0,0,0,0,-295.027526938352,292842047
0.00019,0.142857142857143,0.1,-11.659165509657,11.1455745060577,0.783841958151708,5.30150733843164,1.50444772022831,3.68e-05,5301405,117187.814443624,107813.677841213,0,0,0,0,0,-294.956486494455,124308603
0.00019,0.142857142857143,0.1,-2.90212481250107,0.737623769022972,0.0480213090430285,-0.266901952747109,-2.61143649965865,3.68e-05,5301405,267185.857841744,257813.527149157,0,0,0,0,0,-173.613183137206,230591370
0.00019,0.142857142857143,0.1,-2.98483918938303,0.796764956240801,0.0832759393562639,-0.152665833833952,-2.89216245485144,3.68e-05,5301405,267187.787414301,257813.095777593,0,0,0,0,0,-175.59818595066,700686217
